transaction_id,customer_id,amount,category,region,status,date
TXN000001,CUST0147,118.44,Data,Central,Failed,2024-08-19
TXN000002,CUST0203,353.75,Roaming,Central,Completed,2023-01-09
TXN000003,CUST0042,238.82,Data,North,Pending,2024-09-18
TXN000004,CUST0124,48.78,SMS,Central,Completed,2024-06-06
TXN000005,CUST0048,569.4,Data, North,Completed,2024-02-18
TXN000006,CUST0037,175.1,Data,CENTRAL,Completed,2023/05/11
TXN000007,CUST0241,11.57,Sms,Nrth,,2023-10-29
TXN000008,CUST0074,54.24,Add-on,South,Completed,2023-03-05
TXN000009,CUST0274,55.31,Data, North,Completed,2024-01-14
TXN000010,CUST0295,20.77,Data,SOUTH,Completed,16 Jul 2024
TXN000011,CUST0195,492.18,Data,East,Completed,2023-02-24
TXN000012,CUST0011,107.59,Device,South,Completed,2023/01/01
TXN000013,CUST0285,349.24,Voice,East,Refunded,2024-12-21
TXN000014,CUST0090,68.34,Device,West,Completed,2024-07-27
TXN000015,CUST0248,30.07,Vce,Central,,2024-01-03
TXN000016,CUST0171,106.46,VOICE,West,Completed,2023-04-23
TXN000017,CUST0173,28.15,ADD-ON,North,Completed,2023/10/16
TXN000018,CUST0100,109.83,SMS,South,Completed,01/02/2023
TXN000019,CUST0041,389.42,DATA,East,,08-29-2023
TXN000020,CUST0136,120.34,Data,East,Refunded,2024-03-18
TXN000021,CUST0254,153.76,Voice,South,Completed,2024/12/20
TXN000022,CUST0136,35.55,Add-on,North,Failed,2024-08-27
TXN000023,CUST0299,16.71,SMS,south,Failed,2024-02-08
TXN000024,CUST0254,27.62,Device ,West,Completed,2024/10/02
TXN000025,CUST0099,146.89,SMS,West,Completed,2023-11-22
TXN000026,CUST0270,24.97,SMS,North,Refunded,2024-12-29
TXN000027,CUST0207,80.74,Voice,South,Completed,2024-01-27
TXN000028,CUST0172,129.81,DEVICE,Wst,Completed,2024-02-20
TXN000029,CUST0064,83.81,Add-on,East,Refunded,2024-01-26
TXN000030,CUST0012,36.81,Device,EAST,Completed,2024-03-21
TXN000031,CUST0006,57.99,Voice,Central,Completed,2024-07-12
TXN000032,CUST0026,405.33,Device,South,Completed,2023-08-05
TXN000033,CUST0025,179.04,Device, North,Completed,2024/11/09
TXN000034,CUST0125,-121.72,Data,East,Completed,27/06/2023
TXN000035,CUST0093,11.92,Data,East,Completed,2024-05-01
TXN000036,CUST0200,742.25,Device,West,Completed,2023-05-23
TXN000037,CUST0002,176.96,,east,Completed,2023-07-12
TXN000038,CUST0162,67.17,Device,South,Completed,2024/07/22
TXN000039,CUST0281,327.13,Voice,South,Completed,2024-01-29
TXN000040,CUST0092,,Add-on,Central,Completed,2024-01-04
TXN000041,CUST0126,127.79,Voice,West,Completed,2024-03-03
TXN000042,CUST0153,161.62,SMS ,South,,2023-06-07
TXN000043,CUST0248,47.47,Vce,South,Completed,23 Oct 2023
TXN000044,CUST0107,585.24,Device,West,Completed,2024-11-17
TXN000045,CUST0295,216.86,Data ,West,Failed,2023-05-09
TXN000046,CUST0168,132.4,Add-on,West ,Completed,2023-05-18
TXN000047,CUST0197,39.88,DATA,WEST,Completed,2023/01/12
TXN000048,CUST0023,-47.1,Voice,Central,Completed,2023-03-15
TXN000049,CUST0252,67.86,Device,East,Completed,2024-10-25
TXN000050,CUST0281,219.87,Add-on,North,Completed,2023-01-17
TXN000051,CUST0177,57.07,Roaming,West ,Completed,2023-05-28
TXN000052,CUST0179,126.33,SMS,South,Completed,2024-05-13
TXN000053,CUST0289,205.26,ADD-ON,North,Completed,2024-11-04
TXN000054,CUST0180,27.13,Device,Central,Completed,2024-03-23
TXN000055,CUST0192,183.42,Voice,North,Completed,2023-05-20
